Species_code,X,Y,Clusters_id,Land_use,Soil_type,UTM18N_Easting,UTM18N_Northing,Longitude,Latitude,Elevation(m),DBH
PINSTR,18.475,94.392,2,Managed Forest,130E,721404.293,4846089.393,-72.25072232283858,43.73477613178739,126.53,38.1
PINSTR,18.556,93.176,2,Managed Forest,130E,721403.0892,4846089.208,-72.25073733017092,43.73477482739547,126.45,24.5
PINSTR,18.313,92.403,2,Managed Forest,130E,721402.2902,4846089.394,-72.25074716386194,43.73477673874867,126.25,44.7
PINSTR,19.182,91.149,2,Managed Forest,130E,721401.1387,4846088.393,-72.25076185849467,43.734768080004265,126.33,31.4
BETALL,14.232,91.708,2,Managed Forest,130E,721401.1293,4846093.542,-72.250759854933,43.73481439058412,124.57,34.2
TSUCAN,15.646,93.272,2,Managed Forest,130E,721402.8516,4846092.216,-72.25073903862341,43.73480195092343,125.15,13
BETALL,15.303,93.465,2,Managed Forest,130E,721403.0048,4846092.585,-72.25073698648805,43.73480522380194,125.35,22.7
FAGGRA,14.313,93.813,2,Managed Forest,130E,721403.2386,4846093.635,-72.25073365423005,43.734814597221295,124.97,1.8
TSUCAN,18.838,85.512,2,Managed Forest,130E,721395.4758,4846088.275,-72.25083214602292,43.73476870947582,124.75,15.1
PINSTR,17.081,85.106,2,Managed Forest,130E,721394.8694,4846090.052,-72.25083893573914,43.73478487205354,123.85,60.8
BETALL,16.879,84.681,2,Managed Forest,130E,721394.4223,4846090.224,-72.25084441045891,43.734786552427366,123.85,18.7
BETALL,16.313,86.67,2,Managed Forest,130E,721396.3417,4846090.975,-72.25082029423238,43.73479273353441,124.33,34
TSUCAN,15.869,86.824,2,Managed Forest,130E,721396.4445,4846091.445,-72.25081882564405,43.73479692981005,124.01,16.5
TSUCAN,15.101,89.701,2,Managed Forest,130E,721399.2267,4846092.478,-72.2507838916774,43.73480538949418,124.43,70.9
TSUCAN,15.646,93.272,2,Managed Forest,130E,721402.8516,4846092.216,-72.25073903862341,43.73480195092343,125.15,13.2
TSUCAN,2.818,116.992,2,Managed Forest,130E,721425.0454,4846107.427,-72.25045749703614,43.734932125095256,126.13,35.4
TSUCAN,7.645,118.882,2,Pasture1973,130E,721427.4839,4846102.61,-72.25042923508624,43.734888075060226,127.74,60
PINSTR,8.353,118.069,2,Managed Forest,130E,721426.7539,4846101.812,-72.2504386181726,43.734881116189165,127.58,63.1
TSUCAN,7.001,112.898,2,Managed Forest,130E,721421.4404,4846102.772,-72.2505041281612,43.73489133657675,126.06,28
CARCAR,4.521,111.663,2,Managed Forest,130E,721419.9242,4846105.225,-72.25052192401813,43.73491385046551,125.03,3.5
BETALL,18.273,101.939,2,Managed Forest,130E,721411.7989,4846090.234,-72.25062887821238,43.73478145430608,127.6,24.6
TSUCAN,15.6,102.167,2,Managed Forest,130E,721411.7201,4846093.009,-72.2506287129073,43.734806434924046,127.12,35.5
TSUCAN,13.281,102.102,2,Managed Forest,130E,721411.3896,4846095.394,-72.25063183012229,43.734827983210955,126.64,27
TSUCAN,12.798,102.85,2,Managed Forest,130E,721412.0805,4846095.954,-72.25062303004167,43.73483281330926,126.9,11.2
TSUCAN,13.12,103.24,2,Managed Forest,130E,721412.5064,4846095.655,-72.2506178705721,43.734829997074435,126.9,19.8
TSUCAN,13.088,104.085,2,Managed Forest,130E,721413.3457,4846095.759,-72.25060741760436,43.73483068180551,127.12,17
TILAME,12.057,103.793,2,Managed Forest,130E,721412.9363,4846096.797,-72.25061206811026,43.734840139344556,126.82,41.2
TSUCAN,12.025,105.224,2,Managed Forest,130E,721414.3602,4846096.95,-72.25059434395617,43.73484109020829,126.9,28.5
TSUCAN,12.444,105.549,2,Managed Forest,130E,721414.7325,4846096.545,-72.25058989295701,43.73483733666036,126.9,14.8
TSUCAN,13.378,106.427,2,Managed Forest,130E,721415.7154,4846095.656,-72.25057806777039,43.73482904792158,127.16,16.1
TSUCAN,11.542,106.882,2,Managed Forest,130E,721415.959,4846097.587,-72.25057425114736,43.73484634172302,126.66,31.9
TSUCAN,15.89,105.093,2,Managed Forest,130E,721414.6723,4846092.955,-72.2505921179512,43.73480506780613,127.88,39.3
TSUCAN,17.919,107.337,2,Managed Forest,130E,721417.1434,4846091.052,-72.25056225165203,43.734787215260255,128.28,23.4
TSUCAN,4.618,106.654,2,Managed Forest,130E,721414.9383,4846104.705,-72.2505839801579,43.73491066254358,124.34,47.8
PINSTR,5.262,106.329,2,Managed Forest,130E,721414.6878,4846104.014,-72.25058737174976,43.73490452279864,124.26,62.3
TSUCAN,7.903,106.362,2,Managed Forest,130E,721415.0233,4846101.294,-72.25058433048028,43.73487996018043,125.26,7
PINSTR,6.067,102.297,2,Managed Forest,130E,721410.7577,4846102.846,-72.25063659922569,43.734895191785974,124.38,61.6
TSUCAN,17.532,117.126,2,Pasture1973,130E,721426.8648,4846092.271,-72.25044117170842,43.734795275666826,129.13,48.5
TSUCAN,11.671,114.72,2,Managed Forest,130E,721423.7931,4846098.111,-72.25047686616156,43.73484871516495,127.28,32.5
TSUCAN,15.439,110.589,2,Managed Forest,130E,721420.1036,4846093.881,-72.25052437027666,43.73481177412343,127.72,23.3
